Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-2_Overall_Footnote,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-3_Overall_Footnote,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-5_Overall_Footnote,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-6_Overall_Footnote,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,HBIPS-7_Overall_Footnote,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,SUB-1_Footnote,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-1_Footnote,TOB-2/-2a_Measure_Desc,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2_Footnote,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,TOB-2a_Footnote,PEoC_Assessed_Response,PEoC_Assessed_Footnote,EHR_Use_Response,EHR_Use_Footnote,HIE_Response,HIE_Footnote,Start_Date,End_Date,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-30_Footnote,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,FUH-7_Footnote,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,IMM-2_Footnote,HCP_%,HCP_Numerator,HCP_Denominator,HCP_Footnote,Flu_Season_Start_Date,Flu_Season_End_Date
140122,HINSDALE HOSPITAL,120 NORTH OAK ST ,HINSDALE,IL,60521,DuPage,0.03,2.92,4837.0,nan,0.0,0,4837,nan,nan,Not Available,Not Available,1.0,98.29,459,467,nan,86.72,405,467,nan,99.09,325,328,nan,93.83,304,324,nan,Tobacco Use Treatment (during the hospital stay),39.85,53,133,nan,32.33,43,133,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,75.38,49,65,nan,56.92,37,65,nan,07/01/2014,06/30/2015,99.40,333,335,nan,100,115,115,nan,10/01/2015,03/31/2016
140125,GATEWAY REGIONAL MEDICAL CENTER,2100 MADISON AVENUE ,GRANITE CITY,IL,62040,Madison,0.0,0.0,130.0,nan,9.23,28.8,130,nan,25.0,11,44,nan,94.93,356,375,nan,93.87,352,375,nan,99.09,435,439,nan,99.26,405,408,nan,Tobacco Use Treatment (during the hospital stay),91.79,179,195,nan,35.38,69,195,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,41.58,42,101,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,98.06,202,206,nan,75,85,114,nan,10/01/2015,03/31/2016
140135,DECATUR MEMORIAL HOSPITAL,2300 NORTH EDWARD STREET ,DECATUR,IL,62526,Macon,0.0,0.0,657.0,nan,0.0,0,657,nan,78.26,18,23,nan,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,100.00,42,42,nan,100.00,42,42,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,74.23,72,97,nan,97,28,29,nan,10/01/2015,03/31/2016
140137,GREENVILLE REGIONAL HOSPITAL,200 HEALTHCARE DIVE ,GREENVILLE,IL,62246,Bond,0.0,0.0,1852.0,nan,0.03,1.4,1852,nan,nan,Not Available,Not Available,1.0,100.00,228,228,nan,100.00,228,228,nan,100.00,199,199,nan,100.00,199,199,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,70.59,24,34,nan,41.18,14,34,nan,07/01/2014,06/30/2015,99.00,99,100,nan,99,67,68,nan,10/01/2015,03/31/2016
140147,RICHLAND MEMORIAL HOSPITAL,800 EAST LOCUST ,OLNEY,IL,62450,Richland,0.56,31.59,2359.0,nan,0.67,37.79,2359,nan,75.0,12,16,nan,100.00,539,539,nan,98.52,531,539,nan,99.66,292,293,nan,100.00,295,295,nan,Tobacco Use Treatment (during the hospital stay),85.03,159,187,nan,6.95,13,187,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,41.25,33,80,nan,13.75,11,80,nan,07/01/2014,06/30/2015,100.00,125,125,nan,100,18,18,nan,10/01/2015,03/31/2016
140148,"MEMORIAL MEDICAL CENTER, AN AFFILIATE OF MEMORIAL HEALTH SYSTEM",701 N. FIRST STREET ,SPRINGFIELD,IL,62781,Sangamon,89.95,25472.0,11799.0,nan,57.58,16306,11799,nan,nan,Not Available,Not Available,1.0,56.03,237,423,nan,49.17,208,423,nan,88.57,426,481,nan,95.44,460,482,nan,Tobacco Use Treatment (during the hospital stay),66.82,145,217,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,65.46,127,194,nan,31.96,62,194,nan,07/01/2014,06/30/2015,75.93,123,162,nan,96,6774,7027,nan,10/01/2015,03/31/2016
140150,UNIVERSITY OF ILLINOIS HOSPITAL,1740 WEST TAYLOR BUILDING 924-M/C 581,CHICAGO,IL,60612,Cook,1.66,501.68,12618.0,nan,0.3,92.05,12618,nan,61.11,11,18,nan,85.39,228,267,nan,74.16,198,267,nan,100.00,423,423,nan,99.28,414,417,nan,Tobacco Use Treatment (during the hospital stay),62.91,95,151,nan,58.28,88,151,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,54.29,38,70,nan,31.43,22,70,nan,07/01/2014,06/30/2015,96.00,48,50,nan,86,1042,1212,nan,10/01/2015,03/31/2016
140158,MERCY HOSPITAL AND MEDICAL CENTER,2525 S MICHIGAN AVE ,CHICAGO,IL,60616,Cook,0.61,76.84,5226.0,nan,0.0,0,5226,nan,nan,Not Available,Not Available,1.0,21.10,50,237,nan,19.41,46,237,nan,67.92,290,427,nan,89.86,390,434,nan,Tobacco Use Treatment (during the hospital stay),0.00,0,391,nan,0.00,0,391,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,49.52,52,105,nan,20.95,22,105,nan,07/01/2014,06/30/2015,86.51,263,304,nan,82,18,22,nan,10/01/2015,03/31/2016
140166,ST MARYS HOSPITAL,1800 E LAKE SHORE DR ,DECATUR,IL,62521,Macon,0.0,0.0,106440.0,nan,0.0,0,106440,nan,nan,Not Available,Not Available,1.0,24.58,74,301,nan,24.58,74,301,nan,99.63,272,273,nan,97.30,252,259,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,7.0,Not Available,Not Available,Not Available,7.0,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,92.86,104,112,nan,97,95,98,nan,10/01/2015,03/31/2016
140174,PRESENCE MERCY MEDICAL CENTER,1325 N HIGHLAND AVENUE ,AURORA,IL,60506,Kane,0.2,76.3,16114.0,nan,0.0,0,16114,nan,39.68,25,63,nan,82.25,848,1031,nan,76.82,792,1031,nan,67.37,225,334,nan,97.07,331,341,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,58.79,107,182,nan,39.01,71,182,nan,07/01/2014,06/30/2015,74.05,117,158,nan,94,151,160,nan,10/01/2015,03/31/2016
140176,CENTEGRA HOSPITAL - WOODSTOCK,3701 DOTY ROAD ,WOODSTOCK,IL,60098,McHenry,0.12,20.43,7271.0,nan,0.25,43.52,7271,nan,nan,Not Available,Not Available,1.0,99.65,282,283,nan,98.94,280,283,nan,99.82,565,566,nan,99.82,550,551,nan,Tobacco Use Treatment (during the hospital stay),75.59,223,295,nan,49.83,147,295,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,61.48,75,122,nan,36.89,45,122,nan,07/01/2014,06/30/2015,98.14,317,323,nan,97,89,92,nan,10/01/2015,03/31/2016
140179,LITTLE COMPANY OF MARY HOSPITAL,2800 W 95TH ST ,EVERGREEN PARK,IL,60805,Cook,5.02,305.08,2532.0,nan,0.0,0,2532,nan,nan,Not Available,Not Available,1.0,99.12,226,228,nan,97.37,222,228,nan,99.66,291,292,nan,98.29,288,293,nan,Tobacco Use Treatment (during the hospital stay),89.38,101,113,nan,38.94,44,113,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,56.07,60,107,nan,33.64,36,107,nan,07/01/2014,06/30/2015,62.01,191,308,nan,97,38,39,nan,10/01/2015,03/31/2016
140181,SOUTH SHORE HOSPITAL,8012 SOUTH CRANDON AVENUE ,CHICAGO,IL,60617,Cook,0.11,11.86,4618.0,nan,0.0,0,4618,nan,nan,Not Available,Not Available,1.0,83.29,299,359,nan,83.29,299,359,nan,99.14,346,349,nan,100.00,347,347,nan,Tobacco Use Treatment (during the hospital stay),100.00,29,29,nan,100.00,29,29,nan,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,33.33,12,36,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,94.90,149,157,nan,91,29,32,nan,10/01/2015,03/31/2016
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE ,CHICAGO,IL,60657,Cook,0.03,7.83,9507.0,nan,0.0,0,9507,nan,nan,Not Available,Not Available,1.0,84.73,233,275,nan,79.27,218,275,nan,97.06,496,511,nan,98.64,508,515,nan,Tobacco Use Treatment (during the hospital stay),82.72,225,272,nan,41.91,114,272,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,61.39,97,158,nan,43.04,68,158,nan,07/01/2014,06/30/2015,89.94,143,159,nan,97,68,70,nan,10/01/2015,03/31/2016
140186,RIVERSIDE MEDICAL CENTER,350 N WALL ST ,KANKAKEE,IL,60901,Kankakee,0.24,12.25,2109.0,nan,0.0,0,2109,nan,nan,Not Available,Not Available,1.0,6.53,13,199,nan,6.03,12,199,nan,45.15,93,206,nan,100.00,206,206,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,97.71,128,131,nan,62,147,237,nan,10/01/2015,03/31/2016
140189,SARAH BUSH LINCOLN HEALTH CENTER,1000 HEALTH CENTER DRIVE P O BOX 372 P.O. BOX 372,MATTOON,IL,61938,Coles,0.13,10.47,3457.0,nan,0.0,0,3457,nan,nan,Not Available,Not Available,1.0,96.31,731,759,nan,95.13,722,759,nan,100.00,257,257,nan,99.61,255,256,nan,Tobacco Use Treatment (during the hospital stay),99.33,149,150,nan,50.67,76,150,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,48.62,53,109,nan,24.77,27,109,nan,07/01/2014,06/30/2015,94.52,138,146,nan,96,25,26,nan,10/01/2015,03/31/2016
140191,INGALLS MEMORIAL HOSPITAL,ONE INGALLS DRIVE ,HARVEY,IL,60426,Cook,0.0,0.0,1961.0,nan,0.0,0,1961,nan,nan,Not Available,Not Available,1.0,99.16,236,238,nan,97.06,231,238,nan,99.57,231,232,nan,100.00,231,231,nan,Tobacco Use Treatment (during the hospital stay),80.00,36,45,nan,51.11,23,45,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,42.11,24,57,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,100.00,119,119,nan,Not Available,Not Available,Not Available,1.0,10/01/2015,03/31/2016
140206,NORWEGIAN-AMERICAN HOSPITAL,1044 N FRANCISCO AVE ,CHICAGO,IL,60622,Cook,0.0,0.0,3385.0,nan,0.0,0,3385,nan,nan,Not Available,Not Available,1.0,41.76,152,364,nan,39.84,145,364,nan,88.68,384,433,nan,97.85,409,418,nan,Tobacco Use Treatment (during the hospital stay),52.17,108,207,nan,19.32,40,207,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,97.73,215,220,nan,65,80,124,nan,10/01/2015,03/31/2016
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET ,OAK LAWN,IL,60453,Cook,2.31,584.49,10524.0,nan,0.0,0,10524,nan,nan,Not Available,Not Available,1.0,94.29,363,385,nan,92.21,355,385,nan,97.88,462,472,nan,100.00,477,477,nan,Tobacco Use Treatment (during the hospital stay),81.28,165,203,nan,45.81,93,203,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,59.62,124,208,nan,27.40,57,208,nan,07/01/2014,06/30/2015,97.35,147,151,nan,96,72,75,nan,10/01/2015,03/31/2016
140209,METHODIST MEDICAL CENTER OF ILLINOIS,221 N E GLEN OAK AVE ,PEORIA,IL,61636,Peoria,0.28,132.37,20001.0,nan,0.45,218.25,20001,nan,nan,Not Available,Not Available,1.0,88.91,778,875,nan,72.34,633,875,nan,89.33,293,328,nan,99.39,326,328,nan,Tobacco Use Treatment (during the hospital stay),62.32,129,207,nan,53.62,111,207,nan,Yes,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,55.80,101,181,nan,31.49,57,181,nan,07/01/2014,06/30/2015,91.76,156,170,nan,99,181,183,nan,10/01/2015,03/31/2016
140210,HARRISBURG MEDICAL CENTER,100 DR WARREN TUTTLE DRIVE ,HARRISBURG,IL,62946,Saline,0.21,49.83,10061.0,nan,0.11,25.66,10061,nan,0.0,0,12,nan,99.74,391,392,nan,99.49,390,392,nan,Not Available,Not Available,Not Available,1.0,100.00,441,441,nan,Tobacco Use Treatment (during the hospital stay),99.53,213,214,nan,94.86,203,214,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,80.09,173,216,nan,40.28,87,216,nan,07/01/2014,06/30/2015,86.42,299,346,nan,96,80,83,nan,10/01/2015,03/31/2016
140213,SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1900SILVER CROSS BOULEVARD ,NEW LENOX,IL,60451,Will,0.3,42.3,5841.0,nan,0.0,0,5841,nan,nan,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,88.12,445,505,nan,92.37,472,511,nan,Tobacco Use Treatment (during the hospital stay),42.86,108,252,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,64.10,50,78,nan,35.90,28,78,nan,07/01/2014,06/30/2015,97.00,291,300,nan,59,314,528,nan,10/01/2015,03/31/2016
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST ,PARK RIDGE,IL,60068,Cook,1.15,295.0,10659.0,nan,0.0,0,10659,nan,nan,Not Available,Not Available,1.0,100.00,621,621,nan,98.39,611,621,nan,96.51,415,430,nan,98.83,424,429,nan,Tobacco Use Treatment (during the hospital stay),94.31,116,123,nan,75.61,93,123,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,67.41,91,135,nan,39.26,53,135,nan,07/01/2014,06/30/2015,94.81,146,154,nan,100,68,68,nan,10/01/2015,03/31/2016
140228,SWEDISH AMERICAN HOSPITAL,1401 EAST STATE STREET ,ROCKFORD,IL,61104,Winnebago,0.0,1.08,198216.0,nan,0.0,1.75,198216,nan,nan,Not Available,Not Available,1.0,96.15,425,442,nan,92.31,408,442,nan,97.32,290,298,nan,99.67,298,299,nan,Tobacco Use Treatment (during the hospital stay),67.70,109,161,nan,50.31,81,161,nan,No,nan,Certified EHR Technology,nan,No,nan,01/01/2015,12/31/2015,56.39,75,133,nan,29.32,39,133,nan,07/01/2014,06/30/2015,96.13,298,310,nan,100,44,44,nan,10/01/2015,03/31/2016
140239,ROCKFORD MEMORIAL HOSPITAL,2400 NORTH ROCKTON AVENUE ,ROCKFORD,IL,61103,Winnebago,0.09,8.24,3882.0,nan,0.0,0,3882,nan,nan,Not Available,Not Available,1.0,76.14,150,197,nan,69.54,137,197,nan,87.00,395,454,nan,99.34,450,453,nan,Tobacco Use Treatment (during the hospital stay),18.40,46,250,nan,14.00,35,250,nan,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,59.21,45,76,nan,26.32,20,76,nan,07/01/2014,06/30/2015,89.01,243,273,nan,83,24,29,nan,10/01/2015,03/31/2016
140240,WESTLAKE COMMUNITY HOSPITAL,1225 WEST LAKE STREET ,MELROSE PARK,IL,60160,Cook,0.42,110.7,10894.0,nan,0.0,0,10894,nan,nan,Not Available,Not Available,1.0,43.54,91,209,nan,29.19,61,209,nan,97.66,585,599,nan,98.50,590,599,nan,Tobacco Use Treatment (during the hospital stay),49.28,205,416,nan,31.01,129,416,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,37.74,40,106,nan,12.26,13,106,nan,07/01/2014,06/30/2015,97.86,320,327,nan,85,148,175,nan,10/01/2015,03/31/2016
140242,CENTRAL DUPAGE HOSPITAL,25 NORTH WINFIELD ROAD ,WINFIELD,IL,60190,DuPage,0.17,27.72,6905.0,nan,0.0,0,6905,nan,nan,Not Available,Not Available,1.0,98.84,342,346,nan,98.55,341,346,nan,98.71,459,465,nan,99.78,464,465,nan,Tobacco Use Treatment (during the hospital stay),50.24,106,211,nan,33.18,70,211,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,72.60,53,73,nan,56.16,41,73,nan,07/01/2014,06/30/2015,98.11,156,159,nan,98,105,107,nan,10/01/2015,03/31/2016
140252,NORTHWEST COMMUNITY HOSPITAL 1,800 W CENTRAL ROAD ,ARLINGTON HEIGHTS,IL,60005,Cook,0.28,64.4,9659.0,nan,0.28,64.4,9659,nan,0.0,0,23,nan,40.67,183,450,nan,39.33,177,450,nan,74.52,272,365,nan,99.18,362,365,nan,Tobacco Use Treatment (during the hospital stay),26.97,41,152,nan,Not Available,Not Available,Not Available,1.0,No,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,72.84,59,81,nan,46.91,38,81,nan,07/01/2014,06/30/2015,73.23,238,325,nan,78,130,166,nan,10/01/2015,03/31/2016
140258,ALEXIAN BROTHERS MEDICAL CENTER 1,800 W BIESTERFIELD RD ,ELK GROVE VILLAGE,IL,60007,Cook,0.02,2.2,5438.0,nan,0.0,0,5438,nan,nan,Not Available,Not Available,1.0,98.77,400,405,nan,94.57,383,405,nan,99.67,302,303,nan,99.36,310,312,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,0.00,0,11,nan,No,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,98.99,98,99,nan,78,78,100,nan,10/01/2015,03/31/2016
140281,NORTHWESTERN MEMORIAL HOSPITAL,211 E ONTARIO ST SUITE 1550,CHICAGO,IL,60611,Cook,0.14,26.83,8072.0,nan,0.07,13.09,8072,nan,nan,Not Available,Not Available,1.0,93.16,218,234,nan,88.89,208,234,nan,99.19,490,494,nan,98.29,461,469,nan,Tobacco Use Treatment (during the hospital stay),85.47,100,117,nan,56.41,66,117,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,66.42,91,137,nan,40.88,56,137,nan,07/01/2014,06/30/2015,97.74,303,310,nan,97,177,183,nan,10/01/2015,03/31/2016
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,3815 S HIGHLAND AVENUE ,DOWNERS GROVE,IL,60515,DuPage,1.63,365.98,9368.0,nan,0.0,0,9368,nan,nan,Not Available,Not Available,1.0,90.74,343,378,nan,79.63,301,378,nan,98.23,555,565,nan,99.12,564,569,nan,Tobacco Use Treatment (during the hospital stay),66.95,160,239,nan,48.95,117,239,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,58.62,68,116,nan,32.76,38,116,nan,07/01/2014,06/30/2015,99.35,152,153,nan,93,70,75,nan,10/01/2015,03/31/2016
140292,ADVENTIST GLENOAKS HOSPITAL,701 WINTHROP AVENUE ,GLENDALE HEIGHTS,IL,60139,DuPage,2.21,1003.07,18911.0,nan,0.0,0,18911,nan,nan,Not Available,Not Available,1.0,99.86,725,726,nan,99.45,722,726,nan,93.21,467,501,nan,75.25,371,493,nan,Tobacco Use Treatment (during the hospital stay),37.04,90,243,nan,14.81,36,243,nan,Yes,nan,Certified EHR Technology,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,99.10,330,333,nan,73,110,150,nan,10/01/2015,03/31/2016
144016,ALTON MENTAL HEALTH CENTER,4500 COLLEGE AVENUE ,ALTON,IL,62002,Madison,1.82,231.67,5313.0,nan,0.04,5.33,5313,nan,nan,0,0,7.0,92.45,49,53,nan,90.57,48,53,nan,100.00,34,34,nan,76.47,26,34,nan,Tobacco Use Treatment (during the hospital stay),100.00,12,12,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,85.71,12,14,nan,29,84,292,nan,10/01/2015,03/31/2016
140304,ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD ,BOLINGBROOK,IL,60440,Will,nan,nan,nan,5.0,nan,Not Available,Not Available,5.0,nan,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,Not Available,5.0,Not Available,5.0,Not Available,5.0,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,10/01/2015,03/31/2016
141315,ILLINI COMMUNITY HOSPITAL,640 W WASHINGTON ,PITTSFIELD,IL,62363,Pike,0.65,3.0,191.0,nan,0.0,0,191,nan,nan,0,0,7.0,100.00,23,23,nan,82.61,19,23,nan,100.00,25,25,nan,100.00,27,27,nan,Tobacco Use Treatment (during the hospital stay),Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,No,nan,Paper or Other Form,nan,Yes,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,5.0,Not Available,Not Available,Not Available,5.0,07/01/2014,06/30/2015,100.00,21,21,nan,Not Available,Not Available,Not Available,5.0,10/01/2015,03/31/2016
144005,AURORA CHICAGO LAKESHORE HOSPITAL,4840 N MARINE DR ,CHICAGO,IL,60640,Cook,0.14,137.83,41265.0,nan,0.07,69.26,41265,nan,56.0,14,25,nan,2.81,1158,41265,nan,2.76,1138,41265,nan,22.59,882,3904,nan,22.59,882,3904,nan,Tobacco Use Treatment (during the hospital stay),9.20,359,3904,nan,9.20,359,3904,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,45.11,60,133,nan,24.81,33,133,nan,07/01/2014,06/30/2015,0.00,0,2436,nan,65,335,515,nan,10/01/2015,03/31/2016
144009,"AERIES HEALTHCARE OF ILLINOIS, INC., DBA RIVEREDGE HOSPITAL",8311 WEST ROOSEVELT ROAD ,FOREST PARK,IL,60130,Cook,0.08,71.61,39357.0,nan,0.0,.7,39357,nan,100.0,47,47,nan,99.02,1217,1229,nan,96.66,1188,1229,nan,96.34,369,383,nan,95.04,364,383,nan,Tobacco Use Treatment (during the hospital stay),72.83,126,173,nan,41.62,72,173,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,42.04,140,333,nan,18.32,61,333,nan,07/01/2014,06/30/2015,76.91,353,459,nan,52,168,322,nan,10/01/2015,03/31/2016
144010,CHICAGO READ MENTAL HEALTH CENTER,4200 N OAK PARK AVE ,CHICAGO,IL,60634,Cook,0.33,61.5,7801.0,nan,0.0,0,7801,nan,nan,0,0,7.0,100.00,77,77,nan,94.81,73,77,nan,93.48,258,276,nan,69.93,193,276,nan,Tobacco Use Treatment (during the hospital stay),90.53,86,95,nan,66.32,63,95,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,89.11,90,101,nan,37,121,325,nan,10/01/2015,03/31/2016
144021,ANDREW MCFARLAND MENTAL HLTH CTR,901 SOUTHWIND RD ,SPRINGFIELD,IL,62703,Sangamon,0.08,98.48,49228.0,nan,0.0,0,49228,nan,nan,Not Available,Not Available,1.0,85.20,259,304,nan,80.59,245,304,nan,100.00,278,278,nan,67.63,188,278,nan,Tobacco Use Treatment (during the hospital stay),98.41,62,63,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,50.00,21,42,nan,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,96.39,80,83,nan,51,173,338,nan,10/01/2015,03/31/2016
144026,HARTGROVE HOSPITAL,5730 W ROOSEVELT ROAD ,CHICAGO,IL,60644,Cook,0.05,56.15,43132.0,nan,0.08,82.33,43132,nan,59.09,13,22,nan,99.84,1215,1217,nan,89.89,1094,1217,nan,99.46,366,368,nan,98.10,361,368,nan,Tobacco Use Treatment (during the hospital stay),92.36,133,144,nan,Not Available,Not Available,Not Available,1.0,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,36.54,38,104,nan,19.23,20,104,nan,07/01/2014,06/30/2015,95.95,426,444,nan,58,289,498,nan,10/01/2015,03/31/2016
144028,MADDEN MENTAL HEALTH CENTER,1200 S FIRST AVE ,HINES,IL,60141,Cook,0.51,101.83,8280.0,nan,0.05,10.38,8280,nan,nan,0,0,7.0,95.60,413,432,nan,95.60,413,432,nan,98.94,466,471,nan,87.26,411,471,nan,Tobacco Use Treatment (during the hospital stay),98.80,246,249,nan,61.45,153,249,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,1.0,07/01/2014,06/30/2015,93.90,154,164,nan,66,281,429,nan,10/01/2015,03/31/2016
144029,THE PAVILION,809 W CHURCH ST ,CHAMPAIGN,IL,61820,Champaign,0.05,26.61,21627.0,nan,0.09,47.11,21627,nan,nan,Not Available,Not Available,1.0,100.00,833,833,nan,92.32,769,833,nan,100.00,255,255,nan,100.00,255,255,nan,Tobacco Use Treatment (during the hospital stay),95.17,138,145,nan,62.07,90,145,nan,Yes,nan,Paper or Other Form,nan,No,nan,01/01/2015,12/31/2015,63.48,73,115,nan,33.04,38,115,nan,07/01/2014,06/30/2015,88.30,347,393,nan,Not Available,Not Available,Not Available,5.0,10/01/2015,03/31/2016
